x,y,intensity,ultra,lidar
8,156,6,92,969
8,156,3,92,966
8,160,4,92,966
8,160,5,92,971
8,160,6,92,971
8,160,5,92,967
8,160,3,92,967
12,160,3,92,971
12,160,5,93,971
12,160,4,92,967
12,160,5,92,967
12,160,4,92,969
12,156,5,92,969
12,156,4,92,969
12,156,3,92,969
12,156,3,92,967
12,156,5,92,967
12,152,4,92,969
12,152,5,93,969
12,152,5,92,971
12,152,4,92,971
12,152,4,92,970
12,148,5,92,970
12,148,4,92,972
12,148,5,92,972
12,148,5,92,971
12,148,3,92,971
12,144,3,92,970
12,144,5,92,970
12,144,4,92,965
12,144,5,92,965
12,144,5,92,969
12,140,5,92,969
12,140,5,92,966
12,140,3,92,966
12,140,4,92,968
12,140,5,92,968
12,136,4,92,970
12,136,6,92,970
12,136,5,92,967
12,136,7,92,967
12,136,5,92,971
12,132,6,92,971
12,132,5,92,970
12,132,4,92,970
12,132,5,92,970
12,132,5,92,970
12,128,4,92,969
12,128,5,92,969
12,128,5,92,968
12,128,7,92,968
12,128,6,92,971
12,124,6,35,971
12,124,5,35,969
12,124,4,35,969
12,124,7,35,969
12,124,5,35,969
12,120,7,92,971
12,120,6,93,971
12,120,7,92,968
12,120,7,92,968
12,120,4,92,969
12,116,5,20,969
12,116,4,20,967
12,116,5,20,967
12,116,6,20,966
12,116,5,20,966
12,112,8,20,968
12,112,5,20,968
12,112,6,20,966
12,112,5,20,966
12,112,7,20,969
12,108,5,20,969
12,108,5,20,963
12,108,7,20,963
12,108,6,20,961
12,108,4,20,961
12,104,6,93,967
12,104,8,94,967
12,104,8,93,958
12,104,6,93,958
12,104,8,93,955
12,100,6,20,955
12,100,6,20,944
12,100,8,20,944
12,100,7,20,947
12,100,10,20,947
12,96,8,20,950
12,96,7,765,950
12,96,5,20,926
12,96,6,20,926
12,96,8,20,928
12,92,7,20,928
12,92,6,20,902
12,92,7,20,902
12,92,7,20,904
12,92,5,20,904
12,88,8,20,903
12,88,8,765,903
12,88,9,20,859
12,88,7,20,859
12,88,9,20,861
12,84,8,20,861
12,84,7,20,801
12,84,9,20,801
12,84,10,20,805
12,84,9,20,805
12,80,9,20,802
12,80,8,765,802
12,80,10,20,731
12,80,9,20,731
12,80,7,20,733
12,76,11,20,733
12,76,7,20,646
12,76,8,20,646
12,76,7,20,641
12,76,7,20,641
12,72,9,20,647
12,72,8,765,647
12,72,9,20,578
12,72,9,20,578
12,72,8,20,579
12,68,9,20,579
12,68,9,20,520
12,68,7,20,520
12,68,7,20,519
12,68,11,20,519
12,64,9,20,521
12,64,10,765,521
12,64,8,20,468
12,64,9,20,468
12,64,11,20,473
12,60,10,22,473
12,60,9,22,440
12,60,9,22,440
12,60,9,22,440
12,60,9,22,440
12,56,9,20,436
12,56,8,765,436
12,56,9,20,412
12,56,9,20,412
12,56,9,20,417
12,52,10,93,417
12,52,9,93,400
12,52,10,93,400
12,52,10,93,401
12,52,9,93,401
12,48,9,20,403
12,48,9,765,403
12,48,9,20,396
12,48,10,20,396
12,48,10,20,400
12,44,10,94,400
12,44,10,94,393
12,44,9,94,393
12,44,9,94,399
12,44,8,94,399
12,40,12,20,400
12,40,10,765,400
12,40,9,20,399
12,40,9,20,399
12,40,11,20,407
12,36,9,22,407
12,36,10,22,411
12,36,8,22,411
12,36,11,22,419
12,36,9,22,419
12,32,10,23,416
12,32,11,20,416
12,32,10,23,436
12,32,8,23,436
12,32,9,23,442
12,28,10,22,442
12,28,9,22,462
12,28,10,22,462
12,28,11,22,468
12,28,10,22,468
12,24,9,20,469
12,24,11,20,469
12,24,9,20,507
12,24,9,20,507
12,24,10,20,512
12,20,9,20,512
12,20,11,20,543
12,20,9,20,543
12,20,10,20,549
12,20,9,20,549
12,16,10,22,551
12,16,10,20,551
12,16,14,22,577
12,16,13,22,577
12,16,11,22,577
12,12,12,21,577
12,12,11,21,621
12,12,10,21,621
12,12,9,21,620
12,12,13,21,620
12,8,11,20,621
12,8,12,20,621
12,8,11,20,653
12,8,12,20,653
12,8,11,20,653
12,4,12,23,657
12,4,11,20,657
12,4,12,23,685
12,4,12,23,685
12,4,11,23,691
12,0,13,21,691
12,0,14,21,717
12,0,13,21,717
12,0,14,21,724
12,0,13,21,724
16,0,15,22,722
16,0,11,20,722
16,0,15,22,576
16,0,14,22,576
16,0,14,22,584
16,4,13,23,584
16,4,14,23,549
16,4,12,24,549
16,4,14,24,552
16,4,13,24,552
16,8,13,20,549
16,8,12,20,549
16,8,13,20,513
16,8,15,20,513
16,8,11,20,511
16,12,12,21,511
16,12,12,21,474
16,12,10,21,474
16,12,14,21,473
16,12,12,21,473
16,16,12,20,476
16,16,9,20,476
16,16,12,20,446
16,16,13,20,446
16,16,12,20,442
16,20,9,20,442
16,20,14,20,405
16,20,13,20,405
16,20,11,20,405
16,20,9,20,405
16,24,11,20,407
16,24,9,765,407
16,24,11,20,373
16,24,9,20,373
16,24,9,20,378
16,28,15,21,378
16,28,14,21,357
16,28,10,21,357
16,28,10,21,357
16,28,11,21,357
16,32,10,20,358
16,32,9,765,358
16,32,10,20,342
16,32,11,20,342
16,32,8,20,341
16,36,10,20,341
16,36,12,20,326
16,36,11,20,326
16,36,9,20,326
16,36,9,20,326
16,40,13,20,327
16,40,10,765,327
16,40,12,20,322
16,40,13,20,322
16,40,10,20,323
16,44,10,94,323
16,44,9,94,318
16,44,12,94,318
16,44,12,94,321
16,44,9,94,321
16,48,9,20,321
16,48,11,765,321
16,48,9,20,319
16,48,8,20,319
16,48,9,20,318
16,52,9,34,318
16,52,10,34,321
16,52,9,34,321
16,52,10,34,323
16,52,11,35,323
16,56,8,20,322
16,56,11,765,322
16,56,10,20,331
16,56,9,20,331
16,56,8,20,328
16,60,11,20,328
16,60,11,20,341
16,60,11,20,341
16,60,10,20,341
16,60,9,20,341
16,64,10,20,345
16,64,11,765,345
16,64,9,20,363
16,64,9,20,363
16,64,9,20,362
16,68,10,20,362
16,68,11,20,395
16,68,12,20,395
16,68,10,20,397
16,68,9,20,397
16,72,9,20,398
16,72,11,765,398
16,72,11,20,443
16,72,10,20,443
16,72,10,20,442
16,76,8,20,442
16,76,7,20,502
16,76,9,20,502
16,76,11,20,503
16,76,10,20,503
16,80,11,20,508
16,80,9,765,508
16,80,9,20,580
16,80,9,20,580
16,80,9,20,584
16,84,9,20,584
16,84,9,20,673
16,84,11,20,673
16,84,8,20,677
16,84,11,20,677
16,88,11,20,684
16,88,9,765,684
16,88,9,20,771
16,88,6,20,771
16,88,9,20,772
16,92,9,20,772
16,92,11,20,843
16,92,9,20,843
16,92,8,20,843
16,92,5,20,843
16,96,8,20,843
16,96,9,765,843
16,96,8,20,890
16,96,9,20,890
16,96,8,20,891
16,100,9,20,891
16,100,6,20,924
16,100,8,20,924
16,100,6,20,924
16,100,9,20,924
16,104,7,93,922
16,104,10,93,922
16,104,8,93,943
16,104,5,93,943
16,104,7,93,945
16,108,5,20,945
16,108,6,20,956
16,108,9,20,956
16,108,5,20,962
16,108,7,20,962
16,112,8,20,960
16,112,8,20,960
16,112,6,20,961
16,112,8,20,961
16,112,4,20,965
16,116,7,20,965
16,116,6,20,968
16,116,6,20,968
16,116,7,20,965
16,116,6,20,965
16,120,7,93,967
16,120,5,92,967
16,120,5,93,971
16,120,6,92,971
16,120,6,92,970
16,124,5,92,970
16,124,7,92,969
16,124,6,92,969
16,124,5,92,970
16,124,7,92,970
16,128,6,92,968
16,128,6,92,968
16,128,5,92,966
